complaint_id,category,priority,reason,flag
PM-202401,Pothole,Standard,Classified as Pothole because description mentions 'pothole' keywords.,
PM-202402,Pothole,Urgent,Classified as Pothole because description mentions 'pothole' keywords. Priority set to Urgent due to severity keyword 'child'.,
PM-202406,Flooding,Standard,Classified as Flooding because description mentions 'flooding' keywords.,
PM-202408,Other,Standard,"Ambiguous complaint matching multiple categories (Drain Blockage, Flooding).",NEEDS_REVIEW
PM-202410,Streetlight,Standard,Classified as Streetlight because description mentions 'streetlight' keywords.,
PM-202411,Streetlight,Urgent,Classified as Streetlight because description mentions 'streetlight' keywords. Priority set to Urgent due to severity keyword 'hazard'.,
PM-202413,Waste,Standard,Classified as Waste because description mentions 'waste' keywords.,
PM-202418,Noise,Standard,Classified as Noise because description mentions 'noise' keywords.,
PM-202419,Road Damage,Standard,Classified as Road Damage because description mentions 'road damage' keywords.,
PM-202420,Road Damage,Urgent,Classified as Road Damage because description mentions 'road damage' keywords. Priority set to Urgent due to severity keyword 'injury'.,
PM-202427,Flooding,Standard,Classified as Flooding because description mentions 'flooding' keywords.,
PM-202428,Waste,Standard,Classified as Waste because description mentions 'waste' keywords.,
PM-202430,Other,Standard,"Ambiguous complaint matching multiple categories (Heritage Damage, Streetlight).",NEEDS_REVIEW
PM-202433,Waste,Standard,Classified as Waste because description mentions 'waste' keywords.,
PM-202446,Road Damage,Urgent,Classified as Road Damage because description mentions 'road damage' keywords. Priority set to Urgent due to severity keyword 'fell'.,
